"id","name","searched_name","value_founded","trusted"
419,Elsie Franklin Guimarães,Guimar,"Guimarães, E. F. et Dmonteiro",true
420,Elsie Franklin Guimarães,Guimar,E. F. Guimarães/Jan.2008,true
421,Elsie Franklin Guimarães,Guimar,"J.Wesenberg, E.F. Guimarães/02-XII-2009",true
422,Elsie Franklin Guimarães,Guimar,Guimarães EF; Ichaso CLF,true
423,Elsie Franklin Guimarães,Guimar,"Guimarães, E.F.; Ichaso, C.L.",true
424,Elsie Franklin Guimarães,Guimar,E. F. Guimarães; C. L. F. Ichaso,true
425,Elsie Franklin Guimarães,Guimar,D. M. Ferreira; E. F. Guimarães,true
426,Elsie Franklin Guimarães,Guimar,"Guimarães, E.F.; Queiroz, G.A.",true
427,Elsie Franklin Guimarães,Guimar,"Ichaso, C.L.; Guimarães, E.",true
428,Elsie Franklin Guimarães,Guimar,"Ichaso, CLF; Guimarães, EF",true
429,Elsie Franklin Guimarães,Guimar,"Guimarães, E.F.",true
430,Elsie Franklin Guimarães,Guimar,"Guimarães, E.F.; Ichaso, C.",true
431,Elsie Franklin Guimarães,Guimar,E. F. Guimarães; R. Callejas Posada,true
432,Elsie Franklin Guimarães,Guimar,E. F. Guimarães/2005,true
433,Elsie Franklin Guimarães,Guimar,"Guimarães, E.; Ichaso, C.L.",true
434,Elsie Franklin Guimarães,Guimar,"Guimarães, EF; Wesenberg, J",true
435,Elsie Franklin Guimarães,Guimar,E.F. Guimarães & V.B. Sarnaglia-Jr.,true
436,Elsie Franklin Guimarães,Guimar,L.A.Pereira & E.F. Guimarães/24-01-2008,true
437,Elsie Franklin Guimarães,Guimar,E.Guimarães/1992,true
438,Elsie Franklin Guimarães,Guimar,C. L. F. Ichaso; E. F. GuimarÃ£es,true
439,Elsie Franklin Guimarães,Guimar,Guimarães EF,true
450,Elsie Franklin Guimarães,Guimar,"Guimarães, EF; V. Catarelli",true
451,Elsie Franklin Guimarães,Guimar,L.A.Pereira & E.F. Guimarães/25-01-2008,true
452,Elsie Franklin Guimarães,Guimar,E.F. Guimarães/2008,true
453,Elsie Franklin Guimarães,Guimar,E.F. Guimarães/Out.2008,true
454,Elsie Franklin Guimarães,Guimar,"Guimarães E.F.; Ferreira, D.M.",true
455,Elsie Franklin Guimarães,Guimar,"Guimarães, E.; Ichaso, C.L.F.",true
456,Elsie Franklin Guimarães,Guimar,"Guimarães, E.; Sanaglia",true
457,Elsie Franklin Guimarães,Guimar,"Guimar~eas, E.F.",true
458,Elsie Franklin Guimarães,Guimar,E.F. Guimarães/VII-2011,true
459,Elsie Franklin Guimarães,Guimar,E.F. Guimarães/2019,true
460,Elsie Franklin Guimarães,Guimar,"E. F. Guimarães, E. Medeiros",true
461,Elsie Franklin Guimarães,Guimar,Elsie F. Guimarães/2009,true
462,Elsie Franklin Guimarães,Guimar,E. F. GuimarÃ£es,true
463,Elsie Franklin Guimarães,Guimar,E.F. Guimarães,true
464,Elsie Franklin Guimarães,Guimar,E. Guimarães,true
465,Elsie Franklin Guimarães,Guimar,"Guimarães, E.G.",true
466,Elsie Franklin Guimarães,Guimar,"Guimarães, E.F.; Ferreira, D.M.",true
467,Elsie Franklin Guimarães,Guimar,E.F.Guimarães/2009,true
468,Elsie Franklin Guimarães,Guimar,"Guimarães, EF; Ferreira, DM",true
469,Elsie Franklin Guimarães,Guimar,E.F. Guimarães-I/2008,true
470,Elsie Franklin Guimarães,Guimar,D. M. Cavalcanti Ferreira; E. F. Guimarães,true
471,Elsie Franklin Guimarães,Guimar,E. F. Guimarães,true
472,Elsie Franklin Guimarães,Guimar,"Guimarães, E.; Queiroz, G.A.",true
497,Eric J Tepe,Tepe,Tepe EJ,true
498,George Azevedo de Queiroz,Queiroz,G. A. Queiroz,true
499,George Azevedo de Queiroz,Queiroz,G.A. Queiroz,true
500,George Azevedo de Queiroz,Queiroz,G.A. Queiroz/2018,true
501,George Azevedo de Queiroz,Queiroz,"Guimarães, E.F.; Queiroz, G.A.",true
502,George Azevedo de Queiroz,Queiroz,"Guimarães, E.; Queiroz, G.A.",true
503,Elsie Franklin Guimarães,Guimar,E. F. Guimarães/2008,true
504,Elsie Franklin Guimarães,Guimar,Elsie F. Guimarães/2006,true
505,Elsie Franklin Guimarães,Guimar,Elsie F.Guimarães,true
506,Elsie Franklin Guimarães,Guimar,E.F.Guimarães & D.Monteiro/04,true
507,Elsie Franklin Guimarães,Guimar,"Guimarães, E. .F.",true
508,Elsie Franklin Guimarães,Guimar,"Guimarães, EF; Carvalho, M",true
509,Elsie Franklin Guimarães,Guimar,E. F. Guimarães/Agos.1991,true
510,Elsie Franklin Guimarães,Guimar,Guimarães E.F.,true
511,Elsie Franklin Guimarães,Guimar,E.F. Guimarães/2016,true
512,Elsie Franklin Guimarães,Guimar,"Guimarães, E.F.; Sarnaglia Júnior, V.B.",true
513,Elsie Franklin Guimarães,Guimar,Elsie F. Guimarães,true
514,Elsie Franklin Guimarães,Guimar,"Guimarães, EF; Callejas, R",true
515,Elsie Franklin Guimarães,Guimar,"Guimar~eas, E.F.; Ferreira, D.M.",true
516,Elsie Franklin Guimarães,Guimar,E.F. Guimarães/2006,true
517,Elsie Franklin Guimarães,Guimar,E. F. Guimarães; D. M. Ferreira,true
518,Elsie Franklin Guimarães,Guimar,"Guimarães, EF; Monteiro, D",true
519,Elsie Franklin Guimarães,Guimar,"Guimarães, E.F.; Costa, C.G.; Falcão, C.L.",true
520,Elsie Franklin Guimarães,Guimar,Guimarães/10-10-2007,true
521,Elsie Franklin Guimarães,Guimar,V. Catarelli; E. Guimarães,true
522,Elsie Franklin Guimarães,Guimar,"Guimarães, E",true
523,Elsie Franklin Guimarães,Guimar,E. F. Guimarães/1991,true
524,Elsie Franklin Guimarães,Guimar,L.A.Pereira & E.F. Guimarães/17-01-2008,true
525,Elsie Franklin Guimarães,Guimar,Elsie F. Guimarães/ 1995,true
526,Elsie Franklin Guimarães,Guimar,"Guimarães,E.F.",true
527,Elsie Franklin Guimarães,Guimar,Elsie F. Guimarães - 5/1/2008,true
528,Elsie Franklin Guimarães,Guimar,L.A.Pereira & E.F. Guimarães/26-03-2008,true
529,Elsie Franklin Guimarães,Guimar,Elsie Franklin Guimarães,true
530,Elsie Franklin Guimarães,Guimar,Elsie Guimarães,true
531,Elsie Franklin Guimarães,Guimar,E.F.Guimarães & D.M. Ferreira/2006,true
532,Elsie Franklin Guimarães,Guimar,"Guimarães, E. & Ichaso, C.",true
533,Elsie Franklin Guimarães,Guimar,E.F.Guimarães/2006,true
534,Elsie Franklin Guimarães,Guimar,E. F. Guimarães/2007,true
535,Elsie Franklin Guimarães,Guimar,E. F. Guimarães/1992,true
536,Elsie Franklin Guimarães,Guimar,"Guimarães, E. & Ichaso,C.",true
